order_item_id,order_id,product_id,quantity,unit_price,discount
2540,50997,1007,1.0,1100.0,0.0
12219,54809,1060,1.0,5950.0,10.0
16705,56592,1065,2.0,7400.0,0.0
8018,53161,1059,1.0,4580.0,10.0
9768,53851,1028,1.0,4510.0,0.0
17350,56839,1062,1.0,280.0,0.0
6656,52616,1056,1.0,,5.0
14277,55634,1008,2.0,6630.0,0.0
18435,57274,1014,2.0,2270.0,15.0
13838,55453,1006,1.0,4150.0,5.0
12209,54804,1018,1.0,3890.0,25.0
8375,53295,1026,2.0,7010.0,20.0
13130,55167,1070,4.0,2320.0,0.0
4749,51877,1066,1.0,3610.0,0.0
4306,51704,1053,1.0,3470.0,20.0
15915,56287,1002,1.0,3080.0,5.0
3355,51327,1038,1.0,4270.0,10.0
7016,52759,1032,1.0,1990.0,25.0
16221,56401,1043,2.0,4500.0,0.0
13979,55507,1003,1.0,2040.0,0.0
6671,52621,1050,2.0,7140.0,0.0
19449,57690,1034,3.0,10530.0,0.0
5632,52228,1028,1.0,4510.0,15.0
17586,56932,1009,2.0,6030.0,20.0
12241,54817,1051,3.0,7060.0,10.0
16082,56350,1024,2.0,9110.0,20.0
14854,55867,1004,1.0,9380.0,5.0
19158,57573,1062,1.0,280.0,0.0
8350,53287,1018,2.0,3890.0,0.0
1000,50395,1049,4.0,2810.0,0.0
2243,50879,1067,1.0,4370.0,0.0
3728,51471,1013,1.0,220.0,0.0
1325,50521,1026,1.0,7010.0,5.0
14731,55820,1004,4.0,9380.0,25.0
5007,51983,1051,1.0,7060.0,0.0
14878,55876,1054,1.0,1830.0,0.0
19715,57798,1061,1.0,8080.0,10.0
9373,53691,1054,3.0,1830.0,10.0
12775,55029,1028,1.0,4510.0,0.0
6919,52721,1012,2.0,6600.0,10.0
8538,53363,1028,3.0,4510.0,0.0
1384,50545,1055,3.0,1380.0,0.0
18275,57212,1048,1.0,7870.0,0.0
5832,52304,1033,1.0,2910.0,5.0
11939,54691,1075,1.0,2140.0,0.0
12836,55055,1062,1.0,280.0,20.0
3374,51333,1019,1.0,4560.0,5.0
13753,55419,1032,3.0,1990.0,15.0
5354,52120,1020,1.0,720.0,0.0
2666,51051,1009,2.0,6030.0,0.0
16778,56620,1030,1.0,4290.0,5.0
2947,51164,1062,2.0,280.0,0.0
19861,57859,1023,1.0,4290.0,0.0
11795,54638,1041,4.0,700.0,0.0
9518,53753,1032,4.0,1990.0,0.0
17378,56849,1011,2.0,4590.0,0.0
14479,55720,1017,4.0,3470.0,5.0
8761,53452,1012,1.0,6600.0,0.0
5579,52209,1050,3.0,7140.0,0.0
11208,54409,1055,3.0,1380.0,0.0
15707,56209,1070,3.0,2320.0,5.0
12704,55000,1039,1.0,8680.0,0.0
19745,57810,1031,1.0,9170.0,0.0
3295,51302,1021,2.0,5530.0,10.0
16913,56668,1045,1.0,8330.0,20.0
9966,53928,1009,1.0,6030.0,0.0
14077,55548,1057,3.0,2370.0,20.0
18064,57120,1046,1.0,3450.0,0.0
7288,52867,1010,1.0,8870.0,5.0
10804,54247,1050,1.0,7140.0,20.0
11879,54671,1065,1.0,7400.0,15.0
9398,53702,1066,3.0,3610.0,15.0
1401,50551,1064,2.0,7500.0,10.0
2120,50824,1060,1.0,5950.0,0.0
6094,52402,1040,2.0,3060.0,5.0
303,50122,1068,5.0,10570.0,5.0
6755,52655,1018,1.0,3890.0,5.0
3299,51304,1012,1.0,6600.0,10.0
11170,54391,1035,2.0,6470.0,0.0
12568,54946,1032,1.0,1990.0,5.0
3650,51443,1012,1.0,6600.0,0.0
16965,56690,1055,1.0,1380.0,0.0
7930,53124,1030,1.0,4290.0,10.0
19103,57552,1068,2.0,10570.0,10.0
8262,53252,1039,2.0,8680.0,10.0
14468,55715,1046,1.0,3450.0,0.0
10171,54010,1067,1.0,4370.0,0.0
14598,55768,1053,5.0,3470.0,
2370,50930,1067,1.0,4370.0,20.0
6305,52483,1013,1.0,220.0,5.0
10750,54228,1005,1.0,5510.0,5.0
14481,55722,1058,1.0,5550.0,5.0
14564,55753,1046,3.0,3450.0,5.0
19320,57640,1061,1.0,8080.0,5.0
12837,55055,1031,1.0,9170.0,5.0
10245,54036,1049,1.0,2810.0,10.0
16971,56692,1003,2.0,2040.0,5.0
3987,51571,1050,1.0,7140.0,5.0
4905,51942,1029,1.0,3490.0,5.0
7191,52832,1045,1.0,8330.0,5.0
3248,51284,1052,1.0,,5.0
11698,54596,1011,4.0,4590.0,10.0
6885,52708,1071,1.0,1670.0,10.0
14989,55923,1004,,9380.0,0.0
13600,55359,1075,1.0,2140.0,5.0
10211,54023,1033,1.0,2910.0,10.0
4974,51970,1074,2.0,1880.0,10.0
14483,55724,1051,2.0,7060.0,0.0
8150,53209,1029,1.0,3490.0,0.0
6158,52430,1005,1.0,5510.0,25.0
28,50010,1072,3.0,4390.0,10.0
3858,51523,1006,2.0,4150.0,5.0
12274,54831,1030,1.0,4290.0,0.0
17832,57030,1072,2.0,4390.0,0.0
2653,51047,1045,2.0,8330.0,10.0
15411,56086,1045,1.0,8330.0,0.0
5839,52307,1064,4.0,7500.0,0.0
13264,55223,1007,3.0,1100.0,10.0
6879,52707,1052,1.0,6950.0,0.0
14647,55787,1073,1.0,6680.0,0.0
5804,52294,1011,2.0,4590.0,0.0
13165,55182,1063,1.0,1660.0,15.0
9116,53593,1055,1.0,1380.0,25.0
20112,57968,1038,3.0,4270.0,0.0
1755,50685,1006,2.0,4150.0,5.0
14405,55691,1028,1.0,4510.0,0.0
14071,55546,1008,1.0,6630.0,10.0
16947,56684,1048,4.0,7870.0,5.0
2822,51117,1070,3.0,2320.0,0.0
11481,54512,1021,3.0,5530.0,5.0
416,50164,1044,1.0,3230.0,15.0
2397,50942,1017,1.0,3470.0,5.0
11074,54351,1024,4.0,9110.0,5.0
6568,52583,1022,1.0,3830.0,10.0
18790,57423,1030,3.0,4290.0,15.0
5249,52078,1074,1.0,1880.0,10.0
3733,51472,1001,1.0,6530.0,0.0
17370,56846,1043,1.0,4500.0,5.0
15877,56272,1002,1.0,3080.0,0.0
8604,53391,1017,3.0,3470.0,5.0
7429,52917,1022,2.0,3830.0,0.0
10007,53946,1040,2.0,3060.0,15.0
2388,50937,1051,1.0,7060.0,10.0
16112,56360,1020,3.0,720.0,0.0
11590,54557,1019,2.0,4560.0,0.0
8039,53168,1060,2.0,5950.0,0.0
3140,51239,1037,1.0,2640.0,0.0
2040,50793,1062,1.0,280.0,15.0
3369,51332,1028,3.0,4510.0,5.0
13722,55406,1011,1.0,4590.0,0.0
11147,54380,1007,1.0,1100.0,0.0
16040,56335,1006,3.0,4150.0,5.0
14456,55709,1012,1.0,6600.0,5.0
7913,53117,1001,2.0,6530.0,20.0
558,50220,1061,2.0,8080.0,0.0
4111,51624,1058,5.0,5550.0,0.0
14179,55590,1069,1.0,4090.0,25.0
15405,56083,1050,4.0,7140.0,5.0
11769,54628,1061,1.0,8080.0,0.0
5919,52336,1033,4.0,2910.0,0.0
11080,54354,1072,1.0,4390.0,0.0
9467,53732,1074,1.0,1880.0,0.0
9784,53858,1058,5.0,5550.0,
9150,53604,1056,3.0,1230.0,20.0
5540,52194,1022,2.0,3830.0,0.0
18105,57137,1057,2.0,2370.0,5.0
3446,51361,1065,2.0,7400.0,0.0
11943,54693,1016,2.0,3350.0,20.0
12217,54808,1023,3.0,4290.0,10.0
15032,55943,1017,1.0,3470.0,0.0
16317,56440,1048,3.0,7870.0,5.0
1381,50544,1070,2.0,2320.0,10.0
9854,53885,1031,2.0,9170.0,5.0
8578,53380,1057,4.0,2370.0,10.0
19623,57759,1074,1.0,1880.0,5.0
793,50312,1044,2.0,3230.0,10.0
599,50234,1005,3.0,5510.0,10.0
4352,51724,1025,1.0,4730.0,0.0
3229,51275,1024,1.0,9110.0,10.0
18235,57194,1041,1.0,700.0,5.0
2105,50820,1065,1.0,7400.0,0.0
6254,52465,1069,1.0,4090.0,0.0
9128,53596,1043,1.0,4500.0,15.0
5421,52148,1038,2.0,4270.0,5.0
694,50268,1044,2.0,3230.0,10.0
13073,55147,1036,1.0,6710.0,0.0
15503,56126,1005,1.0,5510.0,10.0
17062,56731,1067,1.0,4370.0,10.0
18445,57278,1059,3.0,4580.0,5.0
1030,50407,1046,3.0,3450.0,10.0
6956,52736,1016,3.0,3350.0,0.0
1386,50546,1004,1.0,9380.0,0.0
19612,57755,1050,2.0,7140.0,0.0
1150,50454,1061,1.0,8080.0,5.0
397,50157,1060,2.0,5950.0,0.0
7198,52835,1023,2.0,4290.0,0.0
18467,57289,1031,3.0,9170.0,10.0
13207,55200,1066,2.0,3610.0,0.0
3886,51534,1029,1.0,3490.0,15.0
15680,56196,1032,2.0,1990.0,5.0
19525,57720,1053,1.0,3470.0,5.0
19505,57713,1071,1.0,1670.0,10.0
17223,56788,1073,3.0,6680.0,0.0
14387,55682,1047,1.0,5950.0,15.0
3532,51395,1015,1.0,3850.0,10.0
9726,53837,1001,2.0,6530.0,25.0
15523,56133,1060,4.0,5950.0,0.0
7102,52798,1053,1.0,3470.0,20.0
14532,55741,1052,3.0,6950.0,0.0
17584,56932,1004,2.0,9380.0,20.0
7532,52960,1063,2.0,1660.0,5.0
12883,55071,1059,1.0,4580.0,0.0
9755,53846,1041,1.0,700.0,20.0
18712,57389,1014,1.0,2270.0,5.0
2926,51158,1064,1.0,7500.0,5.0
13407,55277,1009,3.0,6030.0,10.0
14772,55835,1004,4.0,9380.0,10.0
18837,57445,1058,1.0,5550.0,0.0
19674,57779,1045,2.0,8330.0,20.0
4870,51929,1050,1.0,7140.0,0.0
802,50316,1061,2.0,8080.0,25.0
4787,51893,1062,1.0,280.0,0.0
13235,55214,1046,1.0,3450.0,0.0
19066,57538,1021,2.0,5530.0,0.0
8840,53482,1002,1.0,3080.0,0.0
4007,51578,1017,1.0,3470.0,0.0
14934,55898,1057,1.0,2370.0,5.0
1163,50457,1019,1.0,4560.0,25.0
2215,50866,1036,1.0,6710.0,10.0
2729,51077,1012,1.0,6600.0,5.0
9702,53825,1014,1.0,2270.0,5.0
14440,55703,1072,1.0,4390.0,5.0
6808,52680,1063,4.0,1660.0,5.0
19511,57714,1049,1.0,2810.0,20.0
14801,55846,1023,1.0,4290.0,10.0
5381,52129,1053,2.0,3470.0,10.0
14065,55543,1005,1.0,5510.0,15.0
9041,53564,1058,1.0,5550.0,0.0
3724,51469,1066,1.0,3610.0,5.0
5503,52181,1014,1.0,2270.0,15.0
366,50145,1058,1.0,5550.0,0.0
10496,54133,1015,2.0,3850.0,0.0
2028,50789,1021,1.0,5530.0,10.0
11053,54344,1054,1.0,1830.0,0.0
16499,56511,1025,2.0,4730.0,0.0
5236,52074,1052,2.0,6950.0,0.0
2644,51042,1058,1.0,5550.0,20.0
6784,52666,1034,2.0,10530.0,10.0
3332,51316,1002,1.0,3080.0,0.0
4377,51732,1036,1.0,6710.0,20.0
258,50104,1033,3.0,2910.0,20.0
9387,53698,1054,1.0,1830.0,20.0
16386,56464,1060,1.0,5950.0,0.0
1142,50450,1006,1.0,4150.0,0.0
19032,57524,1064,1.0,7500.0,5.0
6184,52440,1075,1.0,2140.0,0.0
242,50097,1045,1.0,8330.0,0.0
16316,56440,1020,1.0,720.0,5.0
14008,55518,1049,1.0,2810.0,0.0
11522,54527,1001,1.0,6530.0,0.0
3089,51221,1046,1.0,3450.0,0.0
1481,50580,1018,1.0,3890.0,10.0
1722,50672,1059,2.0,4580.0,5.0
18943,57485,1054,1.0,1830.0,0.0
15432,56095,1008,1.0,6630.0,10.0
16793,56625,1040,2.0,3060.0,5.0
3546,51401,1054,1.0,1830.0,20.0
6669,52621,1051,2.0,7060.0,15.0
8249,53249,1044,1.0,3230.0,10.0
2877,51141,1048,4.0,7870.0,0.0
5726,52263,1029,3.0,3490.0,20.0
2732,51079,1041,1.0,700.0,0.0
10625,54184,1003,1.0,2040.0,0.0
3343,51320,1074,1.0,1880.0,5.0
10327,54065,1001,3.0,6530.0,25.0
16059,56341,1041,4.0,700.0,0.0
16695,56588,1011,1.0,4590.0,5.0
3045,51204,1013,1.0,220.0,10.0
12914,55082,1028,1.0,4510.0,10.0
